valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.0594,1921,0.982,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']",0.279,831667,0.211,0,4BJqT0PrAfrxzMOxytFOIz,0.878,10,0.665,-20.096,1,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",4,1921,0.0366,80.954
0.963,1921,0.732,['Dennis Day'],0.819,180533,0.341,0,7xPhfUan2yNtyFG0cUWkt8,0,7,0.16,-12.441,1,Clancy Lowered the Boom,5,1921,0.415,60.936
0.0394,1921,0.961,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.328,500062,0.166,0,1o6I8BglA6ylDMrIELygv1,0.913,3,0.101,-14.85,1,Gati Bali,5,1921,0.0339,110.339
0.165,1921,0.967,['Frank Parker'],0.275,210000,0.309,0,3ftBPsC5vPBKxYSee08FDH,2.77E-05,5,0.381,-9.316,1,Danny Boy,3,1921,0.0354,100.109
0.253,1921,0.957,['Phil Regan'],0.418,166693,0.193,0,4d6HGyGT8e121BsdKmw9v6,1.68E-06,3,0.229,-10.096,1,When Irish Eyes Are Smiling,2,1921,0.038,101.665
0.196,1921,0.579,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.697,395076,0.346,0,4pyw9DVHGStUre4J6hPngr,0.168,2,0.13,-12.506,1,Gati Mardika,6,1921,0.07,119.824
0.406,1921,0.996,['John McCormack'],0.518,159507,0.203,0,5uNZnElqOS3W4fRmRYPk4T,0,0,0.115,-10.589,1,The Wearing of the Green,4,1921,0.0615,66.221
0.0731,1921,0.993,['Sergei Rachmaninoff'],0.389,218773,0.088,0,02GDntOXexBFUvSgaXLPkd,0.527,1,0.363,-21.091,0,"Morceaux de fantaisie, Op. 3: No. 2, PrÃ©lude in C-Sharp Minor. Lento",2,1921,0.0456,92.867
0.721,1921,0.996,['Ignacio Corsini'],0.485,161520,0.13,0,05xDjWH9ub67nJJk82yfGf,0.151,5,0.104,-21.508,0,La MaÃ±anita - Remasterizado,0,3/20/1921,0.0483,64.678
0.771,1921,0.982,['FortugÃ©'],0.684,196560,0.257,0,08zfJvRLp7pjAb94MA9JmF,0,8,0.504,-16.415,1,Il Etait SyndiquÃ©,0,1921,0.399,109.378
0.826,1921,0.995,['Maurice Chevalier'],0.463,147133,0.26,0,0BMkRpQtDoKjcgzCpnqLNa,0,9,0.258,-16.894,1,Dans La Vie Faut Pas S'en Faire,0,1921,0.0557,85.146
0.578,1921,0.994,['Ignacio Corsini'],0.378,155413,0.115,0,0F30WM8qRpO8kdolepZqdM,0.906,10,0.11,-27.039,0,Por Que Me Dejaste - Remasterizado,0,3/20/1921,0.0414,70.37
0.493,1921,0.99,['Georgel'],0.315,190800,0.363,0,0H3k2CvJvHULnWChlbeFgx,0,5,0.292,-12.562,0,La VipÃ¨re,0,1921,0.0546,174.532
0.212,1921,0.912,['Mehmet Kemiksiz'],0.415,184973,0.42,0,0LcXzABeA84EgudqpNUN1I,0.89,8,0.108,-10.766,0,Ud Taksimi,0,1921,0.114,70.758
0.493,1921,0.0175,['Zay Gatsby'],0.527,205072,0.691,1,0MJZ4hh60zwsYleWWxT5yW,0.384,7,0.358,-7.298,1,Power Is Power,0,3/27/1921,0.0326,159.935
0.282,1921,0.989,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.384,221013,0.171,0,0NFeJgmTAV1kDfzSQNK41Z,0.82,7,0.116,-20.476,0,"10 PrÃ©ludes, Op. 23: No. 5 in G Minor. Alla marcia",4,1921,0.0319,107.698
0.218,1921,0.957,['Phil Regan'],0.259,186467,0.212,0,0Nk5f07H3JaEunGrYfbqHM,0.000222,2,0.236,-13.3,1,Come Back To Erin,1,1921,0.0358,85.726
0.664,1921,0.996,"['Hector Berlioz', 'Arturo Toscanini']",0.541,250747,0.283,0,0POO8XaUgW5Qjbv9sbDy8W,0.898,9,0.393,-14.808,1,RÃ¡kÃ³czy March,0,1921,0.0477,108.986
0.0778,1921,0.148,['THE GUY'],0.604,204957,0.418,1,0QQmUf4aPFaN9U2yRko595,0.0382,4,0.102,-11.566,0,When We Die,0,9/11/1921,0.0417,80.073
0.527,1921,0.971,['Christopher Lynch'],0.54,122000,0.0848,0,0QU5xT6Mik4vpyt1ItsRXK,0.00196,5,0.0887,-16.055,0,A Ballynure Ballad,0,1921,0.075,100.296
0.672,1921,0.994,['FortugÃ©'],0.67,191333,0.113,0,0QvUUTHYUQQhSXLwffzjL7,0,10,0.213,-16.57,0,Je Suis Toujours La,0,1921,0.196,87.162
0.24,1921,0.994,"['John McCormack', 'Edwin Schneider']",0.4,187333,0.155,0,0RPKAq5yhbom6hXQz5qo6L,4.33E-05,4,0.103,-13.976,1,Mother Machree,0,1921,0.0873,170.251
0.422,1921,0.995,['Ignacio Corsini'],0.648,154240,0.0995,0,0SK1upzAP6NvIgF0uGh6z2,0.846,11,0.112,-22.429,1,Flor Marchita - Remasterizado,0,3/20/1921,0.105,71.978
0.381,1921,0.995,['Hanende Ä°brahim Efendi'],0.223,158908,0.245,0,0UqiUmGDlhL0A0pmLxafn4,0.876,7,0.354,-14.387,1,Ä°mtidadÄ± AÅŸkÄ±ma,0,12/18/1921,0.0387,142.136
0.41,1921,0.97,['Mehmet Kemiksiz'],0.269,86988,0.143,0,0VhIFYGSpY0Z8IAIA3C6bX,0.469,4,0.166,-9.003,1,Ney Taksimi,0,1921,0.0413,141.386
0.0731,1921,0.993,['Sergei Rachmaninoff'],0.389,218773,0.088,0,0eQsdik7GTEy7M3UytCbSN,0.527,1,0.363,-21.091,0,"Morceaux de fantaisie, Op. 3: No. 2, PrÃ©lude in C-Sharp Minor. Lento",0,1921,0.0456,92.867
0.678,1921,0.996,['Maurice Chevalier'],0.5,181733,0.274,0,0i7MdVu0tNEyUdgpCBilKe,0,2,0.302,-14.001,1,Je M'donne,0,1921,0.041,79.218
0.723,1921,0.388,['Mehmet Kemiksiz'],0.685,155063,0.698,0,0osXBirvQzPRfKSUDzHPCv,1.97E-06,4,0.0768,-8.184,0,Korkma SÃ¶nmez,0,1921,0.0421,133.951
0.792,1921,0.99,['FortugÃ©'],0.665,203800,0.231,0,0qt9g8zf2ZiQhy3FIx89xA,0,2,0.287,-14.116,1,La Victoire De La Madelon,0,1921,0.155,129.671
0.425,1921,0.992,['Ignacio Corsini'],0.286,130200,0.177,0,0sIGoVO1yuIfpikLaKqqVY,0.932,7,0.11,-25.772,1,Por Ella - Remasterizado,0,3/20/1921,0.0431,167.352
0.403,1921,0.992,['Ignacio Corsini'],0.332,166987,0.179,0,0y3F8OUDFuB5bpWpXnQi7n,4.41E-06,0,0.432,-20.937,1,A Mi Palomita - Remasterizado,0,3/20/1921,0.0443,75.704
0.614,1921,0.991,['Ignacio Corsini'],0.484,159013,0.215,0,0yKcdafy64xX9n1ant34Ry,0.000546,4,0.137,-22.223,0,Amurado Me Dejaste - Remasterizado,0,3/20/1921,0.106,76.277
0.185,1921,0.505,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.233,686664,0.00817,0,0yxeAe7MlS0UWZVdNZVZWw,0.000203,8,0.109,-37.311,1,Raja Manggala,5,1921,0.0305,108.143
0.47,1921,0.766,['Mehmet Kemiksiz'],0.453,337607,0.559,0,107JTiqeqxj5P0ocypagMK,0.0104,9,0.213,-8.072,1,EÅŸin Var Ã¢ÅŸiyÃ¢ Var,1,1921,0.0329,156.077
0.161,1921,0.384,['Mehmet Kemiksiz'],0.65,187977,0.443,0,17gxBcWBIkEFUZA0vN5khu,0,6,0.375,-9.478,0,Bir Zamanlar Bizde Millet,0,1921,0.0334,130.009
0.791,1921,0.991,"['Ermanno Wolf-Ferrari', 'Arturo Toscanini']",0.465,151187,0.284,0,18BvzCRC1jeAsj1U70YuRy,0.0225,9,0.146,-17.776,1,Overture,0,1921,0.0591,98.336
0.0608,1921,0.975,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.37,401058,0.196,0,1OicZEUVSwpiAosSQm16D8,0.945,4,0.143,-15.531,1,Gati Main-main,1,1921,0.0449,116.65
0.077,1921,0.994,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.248,117467,0.0876,0,1Pb4ebTZ4t8erRbLPPb8Pk,0.907,5,0.165,-25.786,1,"6 Songs, Op. 38: No. 3, Daisies (Version for Piano)",1,1921,0.0566,82.025
0.651,1921,0.992,['Maurice Chevalier'],0.522,170627,0.29,0,1RgXfAX9PrSfTKTFvOQxPR,0,0,0.381,-12.194,0,Je N'peux Pas Vivre Sans Amour,0,1921,0.0522,92.707
0.0594,1921,0.982,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']",0.279,831667,0.211,0,1SCWBjhk5WmXPxhDduD3HM,0.878,10,0.665,-20.096,1,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",1,1921,0.0366,80.954
0.544,1921,0.185,['THE GUY'],0.577,404062,0.422,1,1T2NGVgAoXjQPEjxTGFRZV,0.0349,1,0.178,-11.108,1,Love for Guns,0,9/11/1921,0.0575,79.997
0.257,1921,0.969,['Christopher Lynch'],0.344,120067,0.131,0,1W2ONoo3OZW5opytgqpYdE,0,10,0.145,-14.261,0,Just A Little Bit Of Heaven,0,1921,0.0616,178.212
0.525,1921,0.258,['Mehmet Kemiksiz'],0.689,145371,0.537,0,1WOXWCjKZzJJRSMJcrLrK1,4.40E-06,1,0.0468,-9.843,0,Ey BÃ¼lbÃ¼l-i Ter ZebÃ¢n-i Ä°rf,0,1921,0.0282,107.84
0.449,1921,0.765,['Mehmet Kemiksiz'],0.474,256731,0.398,0,1Wy1BuvVlkZWsfSge0dp9Q,0.00368,11,0.202,-9.565,1,Doksan Senelik Ã–mre Ä°lÃ¢hi,0,1921,0.0309,75.931
0.205,1921,0.965,['Dennis Day'],0.278,177067,0.251,0,1Ybjz5mMnE0hJbkB8n7V80,2.32E-06,5,0.111,-11.139,1,Galway Bay,0,1921,0.0371,69.901
0.536,1921,0.991,"['Wolfgang Amadeus Mozart', 'Arturo Toscanini']",0.371,248507,0.0742,0,1oOI1MEkrpbnMCRSK5vGZ1,0.0167,3,0.385,-20.093,1,"Symphony No. 39 in E-Flat Major, K. 543: III. Menuetto",0,1921,0.0362,138.376
0.752,1921,0.709,['Mehmet Kemiksiz'],0.516,249652,0.576,0,1qmXkw1WhSvvIL5IqBnW82,0.226,6,0.11,-7.197,0,Kasr-Ä± GÃ¼lÅŸen,0,1921,0.0303,123.853
0.537,1921,0.993,['Ignacio Corsini'],0.396,198200,0.158,0,1s6QwBiqGcedNZnld0OIJV,0.738,3,0.115,-24.309,0,Un Lamento - Remasterizado,0,3/20/1921,0.0734,134.614
0.0348,1921,0.849,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']",0.0663,537733,0.0257,0,1xGx91Ks3RQFqyam0Fdrky,0.956,6,0.0709,-31.134,0,"No. 14, Vocalise",1,1921,0.0472,74.282
0.275,1921,0.597,['Mehmet Kemiksiz'],0.508,124787,0.5,0,1zBcLIHAqpBlL8gAJ5Cxa7,4.49E-06,0,0.254,-7.805,1,YÃ¢ RÃ¢b Bu UÄŸursuz Gecenin Yok mu SabahÄ± -,0,1921,0.0345,127.969
0.647,1921,0.976,"['Felix Mendelssohn', 'Arturo Toscanini']",0.301,269680,0.233,0,273hgBmjqe8KSxmWHyyPAD,0.205,7,0.211,-24.463,0,"A Midsummer Night's Dream, Op. 61: Scherzo",0,1921,0.0449,86.27
0.558,1921,0.996,['Ignacio Corsini'],0.655,178347,0.119,0,27LYINFAjaKGMWQc6EfAtT,0.474,11,0.143,-22.774,1,Mis Harapos - Remasterizado,0,3/20/1921,0.127,106.511
0.194,1921,0.983,['Christopher Lynch'],0.213,191200,0.185,0,2Bj1dMObcYNFt75znIEtWa,2.64E-05,3,0.189,-14.138,1,The Rose Of Tralee,0,1921,0.0372,165.137
0.0379,1921,0.992,"['Sergei Rachmaninoff', 'Zubin Mehta', 'Vladimir Feltsman', 'Israel Philharmonic Orchestra']",0.241,167867,0.109,0,2Cfk7LOOiTLVxe9BNoGGCL,0.853,1,0.0771,-19.286,1,"Rhapsody on a Theme of Paganini, Op. 43: Var. XVIII, Andante cantabile",4,1921,0.0377,79.974
0.222,1921,0.982,['Morton Downey'],0.363,163627,0.12,0,2CkM2wcBtqG796dZeZJhPk,1.75E-05,7,0.355,-14.037,1,Where The River Shannon Flows,1,1921,0.0452,82.315
